search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20191231&after=publication:20190101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10369988-B2,Autonomous parking of vehicles inperpendicular parking spots ,"Ford Global Technologies, Llc","Eric Hongtei Tseng, Li Xu, Kyle Simmons, Douglas Blue",2017-01-13,2017-01-13,2019-08-06,2019-08-06,https://patents.google.com/patent/US10369988B2/en,https://patentimages.storage.googleapis.com/72/ce/47/297d414bc9d3b8/US10369988-20190806-D00000.png
US-10196086-B2,Methods and apparatus for robust trajectory control of an autonomous vehicle ,GM Global Technology Operations LLC,"Pinaki Gupta, Jin-woo Lee",2016-08-11,2016-08-11,2019-02-05,2019-02-05,https://patents.google.com/patent/US10196086B2/en,https://patentimages.storage.googleapis.com/76/bc/31/3f3ad31eb9dde8/US10196086-20190205-D00000.png
DE-102017119139-A1,Operation of a driver assistance device of a motor vehicle in an autonomous parking operation ,Valeo Schalter Und Sensoren Gmbh,"Steven McDonald, Eduardo Menaka, Markus Heimberger, Hongfeng Zhu",2017-08-22,2017-08-22,2019-02-28,,https://patents.google.com/patent/DE102017119139A1/en,https://patentimages.storage.googleapis.com/99/ed/f5/33e1062927c2ef/DE102017119139A1_0001.png
US-10198619-B1,System and method for evaluating the perception system of an autonomous vehicle ,Waymo Llc,"Jiajun Zhu, Christopher Paul Urmson, Dirk Haehnel, Nathaniel Fairfield, Russell Leigh Smith",2010-10-05,2018-01-18,2019-02-05,2019-02-05,https://patents.google.com/patent/US10198619B1/en,https://patentimages.storage.googleapis.com/2f/2d/60/e76fe8b5c56dd6/US10198619-20190205-D00000.png
WO-2019038206-A1,Operation of a driver assistance device of a motor vehicle in an autonomous parking process ,Valeo Schalter Und Sensoren Gmbh,"Steven Sean MCDONALD, Eduardo MENAKA, Markus Heimberger, Hongfeng Zhu",2017-08-22,2018-08-17,2019-02-28,,https://patents.google.com/patent/WO2019038206A1/en,
US-2019384294-A1,Crowd sourcing data for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Amnon Shashua, Yoram Gdalyahu, Ofer Springer, Aran REISMAN, Daniel Braunstein",2015-02-10,2019-08-28,2019-12-19,,https://patents.google.com/patent/US20190384294A1/en,https://patentimages.storage.googleapis.com/6a/01/c5/68102e1903c725/US20190384294A1-20191219-D00000.png
US-10308246-B1,Autonomous vehicle signal control ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-06-04,2019-06-04,https://patents.google.com/patent/US10308246B1/en,https://patentimages.storage.googleapis.com/62/3e/55/cdf864bcc157a0/US10308246-20190604-D00000.png
US-10384678-B1,Autonomous vehicle action communications ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-08-20,2019-08-20,https://patents.google.com/patent/US10384678B1/en,https://patentimages.storage.googleapis.com/ac/17/a8/52d9f139efbe60/US10384678-20190820-D00000.png
US-10386845-B1,Autonomous vehicle parking ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-08-20,2019-08-20,https://patents.google.com/patent/US10386845B1/en,https://patentimages.storage.googleapis.com/bc/ac/aa/9957fc221c484a/US10386845-20190820-D00000.png
US-10503168-B1,Autonomous vehicle retrieval ,State Farm Mutual Automotive Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-12-10,2019-12-10,https://patents.google.com/patent/US10503168B1/en,https://patentimages.storage.googleapis.com/cd/77/1c/ec57484ec725b4/US10503168-20191210-D00000.png
US-10185327-B1,Autonomous vehicle path coordination ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-01-22,2019-01-22,https://patents.google.com/patent/US10185327B1/en,https://patentimages.storage.googleapis.com/7b/25/a1/9d5fee63924b7b/US10185327-20190122-D00000.png
US-10386192-B1,Autonomous vehicle routing ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-08-20,2019-08-20,https://patents.google.com/patent/US10386192B1/en,https://patentimages.storage.googleapis.com/00/bf/33/e8d1adb31aeb5f/US10386192-20190820-D00000.png
US-10482226-B1,System and method for autonomous vehicle sharing using facial recognition ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-11-19,2019-11-19,https://patents.google.com/patent/US10482226B1/en,https://patentimages.storage.googleapis.com/52/f7/17/aa866120e93e87/US10482226-20191119-D00000.png
US-10493936-B1,Detecting and responding to autonomous vehicle collisions ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2019-12-03,2019-12-03,https://patents.google.com/patent/US10493936B1/en,https://patentimages.storage.googleapis.com/ae/3c/8b/c112ea4dce5027/US10493936-20191203-D00000.png
US-2019258251-A1,Systems and methods for safe and reliable autonomous vehicles ,Nvidia Corporation,"Michael Alan DITTY, Gary Hicok, Jonathan Sweedler, Clement FARABET, Mohammed Abdulla Yousuf, Tai-Yuen Chan, Ram GANAPATHI, Ashok Srinivasan, Michael Rod TRUOG, Karl GREB, John George Mathieson, David Nister, Kevin Flory, Daniel Perrin, Dan Hettena",2017-11-10,2018-11-09,2019-08-22,,https://patents.google.com/patent/US20190258251A1/en,https://patentimages.storage.googleapis.com/94/38/14/0d162a2aebd8ef/US20190258251A1-20190822-D00000.png
US-2019291746-A1,Engaging and disengaging for autonomous driving ,Waymo Llc,"Brian Douglas Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2019-04-08,2019-09-26,,https://patents.google.com/patent/US20190291746A1/en,https://patentimages.storage.googleapis.com/d8/e9/ea/e64d8f4e259b73/US20190291746A1-20190926-D00000.png
