search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20121231&after=publication:20120101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8126642-B2,Control and systems for autonomously driven vehicles ,"Gray & Company, Inc.","Paul Gerard Trepagnier, Jorge Emilio Nagel, Matthew Taylor Dooner, Michael Thomas Dewenter, Neil Michael Traft, Sergey Drakunov, Powell Kinney, Aaron Lee",2008-10-24,2008-10-24,2012-02-28,2012-02-28,https://patents.google.com/patent/US8126642B2/en,https://patentimages.storage.googleapis.com/d3/b4/0e/3f423d197c6f4b/US08126642-20120228-D00000.png
US-8321067-B1,Transitioning a mixed-mode vehicle to autonomous mode ,Google Inc.,"Luis Ricardo Prada Gomez, Nathaniel Fairfield, Andy Szybalski, Philip Nemec, Christopher Urmson",2011-05-11,2011-11-10,2012-11-27,2012-11-27,https://patents.google.com/patent/US8321067B1/en,https://patentimages.storage.googleapis.com/1f/d9/ee/a0f6a2d782537f/US08321067-20121127-D00000.png
US-8255092-B2,Autonomous behaviors for a remote vehicle ,Irobot Corporation,"Emilie Phillips, Pavlo E. Rudakevych, Orjeta Taka, James Gordon WOLFE, JR., Tom Frost",2007-05-14,2008-04-14,2012-08-28,2012-08-28,https://patents.google.com/patent/US8255092B2/en,https://patentimages.storage.googleapis.com/46/b7/4c/8355fde4e298df/US08255092-20120828-D00000.png
KR-101204504-B1,Method and apparatus for autonomous driving of electric vehicle ,한국과학기술원,"조동호, 최유준, 이순종, 김진규",2009-10-16,2009-10-16,2012-11-26,2012-11-26,https://patents.google.com/patent/KR101204504B1/en,https://patentimages.storage.googleapis.com/ee/29/47/1e10ec97cbd8ac/112009063639516-pat00002.png
KR-101145112-B1,"Steering control device of autonomous vehicle, autonomous vehicle having the same and steering control method of autonomous vehicle ",국방과학연구소,"최덕선, 박용운, 채정숙",2010-05-11,2010-05-11,2012-05-14,2012-05-14,https://patents.google.com/patent/KR101145112B1/en,https://patentimages.storage.googleapis.com/a6/da/3a/dba175a662c63f/112010030328506-pat00006.png
KR-101207903-B1,Apparatus and method for providing the obstacle information of autonomous mobile vehicle ,국방과학연구소,"최덕선, 박용운, 이영일",2010-10-11,2010-10-11,2012-12-04,2012-12-04,https://patents.google.com/patent/KR101207903B1/en,https://patentimages.storage.googleapis.com/67/c4/70/91a4089b24f68f/112010065332262-pat00001.png
US-2012123628-A1,Multi-sensor autonomous control of unmanned aerial vehicles ,Geneva Aerospace,"David S. Duggan, David A. Felio, Billy B. Pate, Vince R. Longhi, Jerry L. Peterson, Mark J. Bergee",2003-06-20,2011-11-16,2012-05-17,,https://patents.google.com/patent/US20120123628A1/en,https://patentimages.storage.googleapis.com/f1/a2/a6/c8566795511e2a/US20120123628A1-20120517-D00000.png
CN-102004031-B,Gear shift detection device and detection method for automated mechanical transmission for electric vehicle ,上海中科深江电动车辆有限公司,"许国强, 袁一卿, 伍国强",2010-10-12,2010-10-12,2012-07-04,2012-07-04,https://patents.google.com/patent/CN102004031B/en,
CN-202379064-U,Launching and retrieval device for autonomous underwater vehicle ,中国科学院沈阳自动化研究所,"武建国, 于延凯, 徐会希, 郑荣, 王雷",2011-12-26,2011-12-26,2012-08-15,2012-08-15,https://patents.google.com/patent/CN202379064U/en,https://patentimages.storage.googleapis.com/07/b5/03/7b4baf6e5f00b4/HDA0000124761580000011.png
KR-101133037-B1,Path updating method for collision avoidance of autonomous vehicle and the apparatus ,국방과학연구소,"최덕선, 박용운, 이영일, 최지훈, 주상현",2011-12-01,2011-12-01,2012-04-04,2012-04-04,https://patents.google.com/patent/KR101133037B1/en,https://patentimages.storage.googleapis.com/fd/61/8e/fcbf0ff038132b/112011095548917-pat00002.png
