search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20151231&after=publication:20150101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9122948-B1,System and method for evaluating the perception system of an autonomous vehicle ,Google Inc.,"Jiajun Zhu, Christopher Paul Urmson, Dirk Haehnel, Nathaniel Fairfield, Russell Leigh Smith",2010-10-05,2011-10-05,2015-09-01,2015-09-01,https://patents.google.com/patent/US9122948B1/en,https://patentimages.storage.googleapis.com/cb/d6/ff/de020cf8576ba4/US09122948-20150901-D00000.png
US-9098080-B2,Systems and methods for switching between autonomous and manual operation of a vehicle ,"Deere & Company, Irobot Corporation","William Robert Norris, James Allard, Mikhail O. Filippov, Robert Dale Haun, Christopher David Glenn Turner, Seth Gilbertson, Andrew Julian Norby",2005-10-21,2010-12-03,2015-08-04,2015-08-04,https://patents.google.com/patent/US9098080B2/en,https://patentimages.storage.googleapis.com/e8/8b/26/a1c5a413d80ace/US09098080-20150804-D00000.png
US-9075413-B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2014-07-17,2015-07-07,2015-07-07,https://patents.google.com/patent/US9075413B2/en,https://patentimages.storage.googleapis.com/6a/7b/a9/aa9d4de0f52fea/US09075413-20150707-D00000.png
US-9026303-B1,Object detection based on known structures of an environment of an autonomous vehicle ,Google Inc.,"David I. Ferguson, Abhijit Ogale",2013-02-25,2014-09-08,2015-05-05,2015-05-05,https://patents.google.com/patent/US9026303B1/en,https://patentimages.storage.googleapis.com/75/5d/89/d5f25391af1be1/US09026303-20150505-D00000.png
RU-154876-U1,AUTONOMOUS VEHICLE MANAGEMENT SYSTEM (OPTIONS) ,"ФОРД ГЛОУБАЛ ТЕКНОЛОДЖИЗ, ЭлЭлСи",Вилфорд Трент ЙОПП,2013-09-24,2014-09-17,2015-09-10,2015-09-10,https://patents.google.com/patent/RU154876U1/en,https://patentimages.storage.googleapis.com/d5/ae/a6/3c719c8e52c1d9/00000002.png
US-9213337-B1,Detecting lane closures and lane shifts by an autonomous vehicle ,Google Inc.,David I. Ferguson,2013-06-21,2014-07-27,2015-12-15,2015-12-15,https://patents.google.com/patent/US9213337B1/en,https://patentimages.storage.googleapis.com/2f/8c/e8/6e97da71d569b5/US09213337-20151215-D00000.png
US-9176500-B1,Consideration of risks in active sensing for an autonomous vehicle ,Google Inc.,"Eric Teller, Peter Lombrozo",2012-05-14,2014-06-11,2015-11-03,2015-11-03,https://patents.google.com/patent/US9176500B1/en,https://patentimages.storage.googleapis.com/7a/92/e5/a0775054d95e92/US09176500-20151103-D00000.png
US-9081382-B2,Autonomous vehicle comprising extracorporeal blood treatment machine ,"Fresenius Medical Care Holdings, Inc.","Matthew Doyle, Lee TANENBAUM, John TONG",2013-03-15,2013-03-15,2015-07-14,2015-07-14,https://patents.google.com/patent/US9081382B2/en,https://patentimages.storage.googleapis.com/6f/f6/be/614611d2fd9ea4/US09081382-20150714-D00000.png
US-9189961-B2,Method and system for autonomous tracking of a following vehicle in the lane of a leading vehicle ,Continental Teves Ag & Co. Ohg,"Wilfried Mehr, Ulrich Stählin, Stefan Lüke",2012-05-16,2013-05-06,2015-11-17,2015-11-17,https://patents.google.com/patent/US9189961B2/en,https://patentimages.storage.googleapis.com/7d/05/a4/50e70d74374017/US09189961-20151117-D00000.png
US-9205805-B2,Limitations on the use of an autonomous vehicle ,International Business Machines Corporation,"Gary D. Cudak, Christopher J. Hardee, Adrian X. Rodriguez",2014-02-14,2014-02-14,2015-12-08,2015-12-08,https://patents.google.com/patent/US9205805B2/en,https://patentimages.storage.googleapis.com/71/47/68/31ad2aecf73188/US09205805-20151208-D00000.png
KR-101515496-B1,Simulation system for autonomous vehicle for applying obstacle information in virtual reality ,국민대학교산학협력단,"김정하, 김충겸, 배병휴, 김재환, 이준수, 한영민, 임경일",2013-06-12,2013-06-12,2015-05-04,2015-05-04,https://patents.google.com/patent/KR101515496B1/en,https://patentimages.storage.googleapis.com/fa/2a/f4/5be6c3b1cb9160/112014116810253-pat00017.png
US-8996224-B1,Detecting that an autonomous vehicle is in a stuck condition ,Google Inc.,"Joshua Seth Herbach, Nathaniel Fairfield",2013-03-15,2013-03-15,2015-03-31,2015-03-31,https://patents.google.com/patent/US8996224B1/en,https://patentimages.storage.googleapis.com/46/14/70/311fa251e6888f/US08996224-20150331-D00000.png
US-9145139-B2,Use of environmental information to aid image processing for autonomous vehicles ,Google Inc.,"David I. Ferguson, Wan-Yen Lo",2013-06-24,2013-06-24,2015-09-29,2015-09-29,https://patents.google.com/patent/US9145139B2/en,https://patentimages.storage.googleapis.com/cc/4d/ad/56c7918599084c/US09145139-20150929-D00000.png
US-9224300-B2,Apparatus and method for controlling autonomous vehicle platooning ,Electronics And Telecommunications Research Institute,"Sangwoo Lee, Myungwook PARK, Wooyong HAN",2013-10-07,2014-08-06,2015-12-29,2015-12-29,https://patents.google.com/patent/US9224300B2/en,https://patentimages.storage.googleapis.com/ad/83/08/60fbfaede173eb/US09224300-20151229-D00000.png
US-9014905-B1,Cyclist hand signal detection by an autonomous vehicle ,Google Inc.,"Henrik Kretzschmar, Jiajun Zhu",2014-01-28,2014-01-28,2015-04-21,2015-04-21,https://patents.google.com/patent/US9014905B1/en,https://patentimages.storage.googleapis.com/8a/55/8f/0d6c973dcf5b90/US09014905-20150421-D00000.png
US-9091558-B2,Autonomous driver assistance system and autonomous driving method thereof ,Automotive Research & Testing Center,"Yi-Feng Su, Ming-hung Li",2013-12-23,2013-12-23,2015-07-28,2015-07-28,https://patents.google.com/patent/US9091558B2/en,https://patentimages.storage.googleapis.com/a9/b3/6b/eba33fb69904c6/US09091558-20150728-D00000.png
US-9128485-B1,Autonomous vehicle comprising extracorporeal blood treatment machine ,"Fresenius Medical Care Holdings, Inc.","Matthew Doyle, Lee TANENBAUM, John TONG",2013-03-15,2015-05-28,2015-09-08,2015-09-08,https://patents.google.com/patent/US9128485B1/en,https://patentimages.storage.googleapis.com/55/18/6c/8a70851a7b76a3/US09128485-20150908-D00000.png
US-9188982-B2,Method and apparatus for efficient scheduling for multiple automated non-holonomic vehicles using a coordinated path planner ,Crown Equipment Limited,Jacob Jay Thomson,2011-04-11,2012-04-10,2015-11-17,2015-11-17,https://patents.google.com/patent/US9188982B2/en,https://patentimages.storage.googleapis.com/f3/eb/e0/36322027474a42/US09188982-20151117-D00000.png
US-9223749-B2,Celestial navigation system for an autonomous vehicle ,Irobot Corporation,Mark J. Chiappetta,2004-07-07,2012-12-31,2015-12-29,2015-12-29,https://patents.google.com/patent/US9223749B2/en,https://patentimages.storage.googleapis.com/11/db/6a/38879a247e126f/US09223749-20151229-D00000.png
US-9008961-B2,Determining and displaying auto drive lanes in an autonomous vehicle ,Google Inc.,"Philip Nemec, Brian Cullinane, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet",2012-11-30,2013-03-11,2015-04-14,2015-04-14,https://patents.google.com/patent/US9008961B2/en,https://patentimages.storage.googleapis.com/74/94/9e/36d2160a630375/US09008961-20150414-D00000.png
US-9008890-B1,Augmented trajectories for autonomous vehicles ,Google Inc.,"Joshua Seth Herbach, Nathaniel Fairfield, Dmitri Dolgov, Peter Colijn, Andrew Chatham",2013-03-15,2013-03-15,2015-04-14,2015-04-14,https://patents.google.com/patent/US9008890B1/en,https://patentimages.storage.googleapis.com/84/fb/2e/c489f56dfb7ccd/US09008890-20150414-D00000.png
US-9128484-B1,Autonomous vehicle comprising extracorporeal blood treatment machine ,"Fresenius Medical Care Holdings, Inc.","Matthew Doyle, Lee TANENBAUM, John TONG",2013-03-15,2015-05-28,2015-09-08,2015-09-08,https://patents.google.com/patent/US9128484B1/en,https://patentimages.storage.googleapis.com/56/88/d6/f18d93e9395fb8/US09128484-20150908-D00000.png
US-9063543-B2,Apparatus and method for cooperative autonomous driving between vehicle and driver ,Electronics And Telecommunications Research Institute,"Kyoung-Hwan AN, Woo-Yong Han",2013-02-27,2013-09-11,2015-06-23,2015-06-23,https://patents.google.com/patent/US9063543B2/en,https://patentimages.storage.googleapis.com/11/fc/e6/d68e77c9714bf7/US09063543-20150623-D00000.png
US-9096150-B2,Autonomous vehicle with reconfigurable seats ,"Ford Global Technologies, Llc","Mark A. Cuddihy, Manoharprasad K. Rao, Jialiang Le",2013-11-20,2013-11-20,2015-08-04,2015-08-04,https://patents.google.com/patent/US9096150B2/en,https://patentimages.storage.googleapis.com/3d/b3/97/1a8856915eb010/US09096150-20150804-D00000.png
US-9082112-B2,Autonomous transport vehicle charging system ,"Symbotic, LLC","Robert Sullivan, Dmitry Vasilyev",2010-12-15,2011-12-15,2015-07-14,2015-07-14,https://patents.google.com/patent/US9082112B2/en,https://patentimages.storage.googleapis.com/ae/83/6c/9f43ad00900f1a/US09082112-20150714-D00000.png
US-8972052-B2,Celestial navigation system for an autonomous vehicle ,Irobot Corporation,Mark Joseph Chiappetta,2004-07-07,2009-11-03,2015-03-03,2015-03-03,https://patents.google.com/patent/US8972052B2/en,https://patentimages.storage.googleapis.com/58/27/44/74fd58a771bf2c/US08972052-20150303-D00000.png
US-9170327-B2,Apparatus and method for providing obstacle information in autonomous mobile vehicle ,Agency For Defense Development,"Tok Son Choe, Yong Woon PARK, Young Il Lee",2010-10-11,2011-09-14,2015-10-27,2015-10-27,https://patents.google.com/patent/US9170327B2/en,https://patentimages.storage.googleapis.com/47/d4/b3/17abba867a9c0e/US09170327-20151027-D00000.png
US-8983708-B2,"Steering control device of autonomous vehicle, autonomous vehicle having the same and steering control method of autonomous vehicle ",Agency For Defense Development,"Tok Son Choe, Yong Woon PARK, Jeong Sook Chae",2010-05-11,2010-09-28,2015-03-17,2015-03-17,https://patents.google.com/patent/US8983708B2/en,https://patentimages.storage.googleapis.com/6e/ce/7e/a55c607af135b8/US08983708-20150317-D00000.png
DE-102014212746-A1,AUTONOMOUS VEHICLE WITH DRIVER PRESENCE AND PHYSIOLOGICAL MONITORING ,"Ford Global Technologies, Llc","Manoharprasad Rao, Mark Cuddihy, Lialiang Le",2013-07-09,2014-07-01,2015-01-15,,https://patents.google.com/patent/DE102014212746A1/en,https://patentimages.storage.googleapis.com/2d/b3/45/2de9795d2034dc/DE102014212746A1_0002.png
DE-102014204533-A1,Securing a motor vehicle for an autonomous engine run ,Volkswagen Aktiengesellschaft,"Ullrich MEIER, Burkhard Veldten, Roy Lamping, Juri Remele",2014-03-12,2014-03-12,2015-10-01,,https://patents.google.com/patent/DE102014204533A1/en,https://patentimages.storage.googleapis.com/46/36/b7/d3c5e6ecbf4a07/DE102014204533A1_0002.png
AU-2012307109-B2,Autonomous vehicle and task modelling ,Bae Systems Plc,Glenn Michael Callow,2011-09-15,2012-09-12,2015-11-19,2015-11-19,https://patents.google.com/patent/AU2012307109B2/en,
US-2015154557-A1,Methods and systems for automating a logistics transaction using an autonomous vehicle and elements of a wireless node network ,"Fedex Corporate Services, Inc.",Ole-Petter Skaaksrud,2013-11-29,2014-11-12,2015-06-04,,https://patents.google.com/patent/US20150154557A1/en,https://patentimages.storage.googleapis.com/e6/79/db/f3ea1bb00036e8/US20150154557A1-20150604-D00000.png
CN-102753417-B,For without the need to user's action autonomous driving run in automobile is run automatically method and apparatus ,戴姆勒股份公司,"M·伯林格, S·杜比拉, S·扬森, J·洛克哈特, E·森格瓦尔德, F·施蒂贝尔特",2009-10-10,2010-10-05,2015-11-25,2015-11-25,https://patents.google.com/patent/CN102753417B/en,
US-2015284009-A1,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Douglas Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2015-06-22,2015-10-08,,https://patents.google.com/patent/US20150284009A1/en,https://patentimages.storage.googleapis.com/f8/a0/b2/2db81f39899b2d/US20150284009A1-20151008-D00000.png
