search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20141231&after=publication:20140101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2009308192-B2,Control and systems for autonomously driven vehicles ,"Samsung Electronics Co., Ltd.","Michael Thomas Dewenter, Matthew Taylor Dooner, Sergey Drakunov, Powell Kinney, Aaron Lee, Jorge Emilio Nagel, Neil Michael Traft, Paul Gerald Trepagnier",2008-10-24,2009-10-26,2014-10-09,2014-10-09,https://patents.google.com/patent/AU2009308192B2/en,
US-8768555-B2,Autonomous control of unmanned aerial vehicles ,"L-3 Unmanned Systems, Inc.","David S. Duggan, David A. Felio, Billy B. Pate, Vince R. Longhi, Jerry L. Petersen, Mark J. Bergee",2003-06-20,2012-12-04,2014-07-01,2014-07-01,https://patents.google.com/patent/US8768555B2/en,https://patentimages.storage.googleapis.com/a0/4a/73/1919c4fb834e9e/US08768555-20140701-D00000.png
US-8825258-B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2013-03-11,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825258B2/en,https://patentimages.storage.googleapis.com/d7/99/b7/7c1d114f319729/US08825258-20140902-D00000.png
US-8818608-B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2013-12-03,2014-08-26,2014-08-26,https://patents.google.com/patent/US8818608B2/en,https://patentimages.storage.googleapis.com/d0/cd/88/316ac63ef3c4d9/US08818608-20140826-D00000.png
US-8880270-B1,Location-aware notifications and applications for autonomous vehicles ,Google Inc.,"Dave Ferguson, Jiajun Zhu, Manuel Christian Clement",2013-01-08,2013-01-08,2014-11-04,2014-11-04,https://patents.google.com/patent/US8880270B1/en,https://patentimages.storage.googleapis.com/3f/70/f0/081ab003bab7e0/US08880270-20141104-D00000.png
US-8831813-B1,Modifying speed of an autonomous vehicle based on traffic conditions ,Google Inc.,"David I. Ferguson, Dmitri A. Dolgov",2012-09-24,2012-09-24,2014-09-09,2014-09-09,https://patents.google.com/patent/US8831813B1/en,https://patentimages.storage.googleapis.com/0a/77/fc/ce7a869f33f009/US08831813-20140909-D00000.png
US-8874301-B1,Autonomous vehicle with driver presence and physiological monitoring ,"Ford Global Technologies, Llc","Manoharprasad K. Rao, Mark A. Cuddihy, Jialiang Le",2013-07-09,2013-07-09,2014-10-28,2014-10-28,https://patents.google.com/patent/US8874301B1/en,https://patentimages.storage.googleapis.com/96/19/76/5f595195bda897/US08874301-20141028-D00000.png
US-8825259-B1,Detecting lane closures and lane shifts by an autonomous vehicle ,Google Inc.,David I. Ferguson,2013-06-21,2013-06-21,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825259B1/en,https://patentimages.storage.googleapis.com/9d/56/8e/9ede068f6ed788/US08825259-20140902-D00000.png
KR-101449210-B1,Apparatus for converting driving mode of autonomous vehicle and method thereof ,현대자동차주식회사,"오영철, 허명선, 유병용",2012-12-27,2012-12-27,2014-10-08,2014-10-08,https://patents.google.com/patent/KR101449210B1/en,https://patentimages.storage.googleapis.com/74/b9/b0/df94d035906650/112012108514411-pat00001.png
US-8849494-B1,Data selection by an autonomous vehicle for trajectory modification ,Google Inc.,"Joshua Seth Herbach, Nathaniel Fairfield, Peter Colijn",2013-03-15,2013-03-15,2014-09-30,2014-09-30,https://patents.google.com/patent/US8849494B1/en,https://patentimages.storage.googleapis.com/de/50/1c/340c77f4ba0cd6/US08849494-20140930-D00000.png
US-8812186-B2,Driving mode changing method and apparatus of autonomous navigation vehicle ,Hyundai Motor Company,"Young Chul Oh, Myung Seon Heo, Byung Yong YOU",2012-12-27,2013-05-24,2014-08-19,2014-08-19,https://patents.google.com/patent/US8812186B2/en,https://patentimages.storage.googleapis.com/1f/ac/b7/2ffa0b25173b1d/US08812186-20140819-D00000.png
US-8855849-B1,Object detection based on known structures of an environment of an autonomous vehicle ,Google Inc.,"David I. Ferguson, Abhijit Ogale",2013-02-25,2013-02-25,2014-10-07,2014-10-07,https://patents.google.com/patent/US8855849B1/en,https://patentimages.storage.googleapis.com/ff/ab/2b/def2128ae1ea49/US08855849-20141007-D00000.png
US-8781669-B1,Consideration of risks in active sensing for an autonomous vehicle ,Google Inc.,"Eric Teller, Peter Lombrozo",2012-05-14,2012-05-14,2014-07-15,2014-07-15,https://patents.google.com/patent/US8781669B1/en,https://patentimages.storage.googleapis.com/85/e0/51/f68b47c96cdb69/US08781669-20140715-D00000.png
AU-2012243484-B2,Method and apparatus for efficient scheduling for multiple automated non-holonomic vehicles using a coordinated path planner ,Crown Equipment Corporation,Jacob Jay THOMSON,2011-04-11,2012-04-10,2014-10-30,2014-10-30,https://patents.google.com/patent/AU2012243484B2/en,
US-8788134-B1,Autonomous driving merge management system ,GM Global Technology Operations LLC,"Bakhtiar Brian Litkouhi, Junqing Wei, John M. Dolan",2013-01-04,2013-01-04,2014-07-22,2014-07-22,https://patents.google.com/patent/US8788134B1/en,https://patentimages.storage.googleapis.com/31/0d/22/23a98fbb485a5c/US08788134-20140722-D00000.png
US-8849493-B2,Transitioning a mixed-mode vehicle to autonomous mode ,Google Inc.,"Luis Ricardo Prada Gomez, Nathaniel Fairfield, Andy Szybalski, Philip Nemec, Christopher Urmson",2011-05-11,2012-10-25,2014-09-30,2014-09-30,https://patents.google.com/patent/US8849493B2/en,https://patentimages.storage.googleapis.com/f3/a5/3f/fefefba1c518fc/US08849493-20140930-D00000.png
US-8627908-B2,Semi-autonomous vehicle providing an auxiliary power supply ,GM Global Technology Operations LLC,"Carl W. Wellborn, Mary Ellen Decaluwe, Jim K. Rainbolt, Roger A. Clark",2011-01-29,2011-01-29,2014-01-14,2014-01-14,https://patents.google.com/patent/US8627908B2/en,https://patentimages.storage.googleapis.com/bc/ce/9a/21f58faf737ea5/US08627908-20140114-D00000.png
US-8843244-B2,Autonomous behaviors for a remove vehicle ,Irobot Corporation,"Emilie Phillips, Pavlo E. Rudakevych, Orjeta Taka, James Gordon WOLFE, JR., Tom Frost",2006-10-06,2007-05-14,2014-09-23,2014-09-23,https://patents.google.com/patent/US8843244B2/en,https://patentimages.storage.googleapis.com/09/ec/95/37956f5be23b85/US08843244-20140923-D00000.png
US-8755997-B2,Laser ranging process for road and obstacle detection in navigating an autonomous vehicle ,Honeywell International Inc.,"Kwong Wing Au, Jon Schewe",2008-07-30,2008-07-30,2014-06-17,2014-06-17,https://patents.google.com/patent/US8755997B2/en,https://patentimages.storage.googleapis.com/5c/85/11/8e5d856b48f01c/US08755997-20140617-D00000.png
US-8736820-B2,Apparatus and method for distinguishing ground and obstacles for autonomous mobile vehicle ,Agency For Defense Development,"Tok Son Choe, Jeong Sook Chae, Yong Woon PARK, Jun Kim",2009-03-03,2010-03-03,2014-05-27,2014-05-27,https://patents.google.com/patent/US8736820B2/en,https://patentimages.storage.googleapis.com/f3/e5/d2/040d6cf93ff1ab/US08736820-20140527-D00000.png
CN-102227612-B,Control and systems for autonomously driven vehicles ,格瑞股份公司,"P·G·特帕格尼尔, J·E·纳格尔, M·T·杜内尔, M·T·德温特, N·M·特拉夫特, S·达拉库诺夫, P·金内, A·李",2008-10-24,2009-10-26,2014-06-25,2014-06-25,https://patents.google.com/patent/CN102227612B/en,https://patentimages.storage.googleapis.com/b3/cd/5d/d845ba33dc17bf/HDA0000063833140000011.png
US-2014330478-A1,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2014-07-17,2014-11-06,,https://patents.google.com/patent/US20140330478A1/en,https://patentimages.storage.googleapis.com/ff/ff/b6/1d9731b81a35df/US20140330478A1-20141106-D00000.png
