search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20111231&after=publication:20110101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7894951-B2,Systems and methods for switching between autonomous and manual operation of a vehicle ,"Deere & Company, Irobot Corporation","William Robert Norris, James Allard, Mikhail O. Filippov, Robert Dale Haun, Christopher David Glenn Turner, Seth Gilbertson, Andrew Julian Norby",2005-10-21,2006-10-20,2011-02-22,2011-02-22,https://patents.google.com/patent/US7894951B2/en,https://patentimages.storage.googleapis.com/51/b0/ce/57bc09043cd1bd/US07894951-20110222-D00000.png
US-8078349-B1,Transitioning a mixed-mode vehicle to autonomous mode ,Google Inc.,"Luis Ricardo Prada Gomez, Nathaniel Fairfield, Andy Szybalski, Philip Nemec, Christopher Urmson",2011-05-11,2011-05-11,2011-12-13,2011-12-13,https://patents.google.com/patent/US8078349B1/en,https://patentimages.storage.googleapis.com/7a/a2/e8/8d5602f5aaa4c9/US08078349-20111213-D00000.png
US-7979174-B2,Automatic planning and regulation of the speed of autonomous vehicles ,Honeywell International Inc.,"Kingsley O. C. Fregene, Michael R. Elgersma, Samar Dajani-Brown, Stephen G. Pratt",2007-09-28,2008-06-04,2011-07-12,2011-07-12,https://patents.google.com/patent/US7979174B2/en,https://patentimages.storage.googleapis.com/1c/f5/2c/1502292602d35a/US07979174-20110712-D00000.png
US-2011071718-A1,Systems and Methods for Switching Between Autonomous and Manual Operation of a Vehicle ,"William Robert Norris, James Allard, Filippov Mikhail O, Robert Dale Haun, Christopher David Glenn Turner, Seth Gilbertson, Andrew Julian Norby","William Robert Norris, James Allard, Mikhail O. Filippov, Robert Dale Haun, Christopher David Glenn Turner, Seth Gilbertson, Andrew Julian Norby",2005-10-21,2010-12-03,2011-03-24,,https://patents.google.com/patent/US20110071718A1/en,https://patentimages.storage.googleapis.com/f9/61/57/017ec92b5836c1/US20110071718A1-20110324-D00000.png
CN-101561680-B,Embedded guidance device of autonomous vehicle and intelligent composite guidance method thereof ,"南京航空航天大学, 江苏天奇物流系统工程股份有限公司","楼佩煌, 武星, 钱晓明, 喻俊, 张炯, 胡武茹, 肖海宁",2009-05-11,2009-05-11,2011-06-15,2011-06-15,https://patents.google.com/patent/CN101561680B/en,https://patentimages.storage.googleapis.com/e6/93/f1/2ebf78bbc4d764/H2009100265247E00011.png
KR-101096592-B1,Apparatus and method for improving autonomous driving performance of unmanned vehicles using obstacle grid map ,국방과학연구소,"이영일, 이호주, 주상현, 박용운, 고정호",2010-09-29,2010-09-29,2011-12-20,2011-12-20,https://patents.google.com/patent/KR101096592B1/en,https://patentimages.storage.googleapis.com/bc/2a/23/7c12443deb0a23/112010062937619-pat00001.png
US-2011010023-A1,Method and apparatus for managing and controlling manned and automated utility vehicles ,"Kunzig Robert S, Taylor Robert M, Emanuel David C, Maxwell Leonard J","Robert S. Kunzig, Robert M. Taylor, David C. Emanuel, Leonard J. Maxwell",2005-12-03,2010-09-02,2011-01-13,,https://patents.google.com/patent/US20110010023A1/en,https://patentimages.storage.googleapis.com/a9/95/32/d2a8c2e212a84d/US20110010023A1-20110113-D00000.png
US-2011106362-A1,Control for an autonomous conveyer vehicle and method for operating an autonomous conveyer vehicle ,Siemens Aktiengesellschaft,Christian Seitz,2008-06-27,2009-06-09,2011-05-05,,https://patents.google.com/patent/US20110106362A1/en,https://patentimages.storage.googleapis.com/83/45/da/7d8aa4be3e703a/US20110106362A1-20110505-D00000.png
US-2011004367-A1,Autonomous water-borne vehicle ,"J3S, Inc.","Jimmy Dale Saunders, Timothy Daniel Raymund, Jason Christopher Splawn, Scott William White, Debbie Lee Campbell, Cynthia Gaye Huyser, Petre Rusu, Mark Leo Brucks",2006-02-28,2010-09-10,2011-01-06,,https://patents.google.com/patent/US20110004367A1/en,https://patentimages.storage.googleapis.com/5c/25/5d/60b77f5427f60d/US20110004367A1-20110106-D00000.png
WO-2011142508-A1,"Steering control device of autonomous vehicle, autonomous vehicle having the same and steering control method of autonomous vehicle ",Agency For Defense Development,"Tok Son Choe, Yong Woon Park, Jeong Sook Chae",2010-05-11,2010-09-28,2011-11-17,,https://patents.google.com/patent/WO2011142508A1/en,https://patentimages.storage.googleapis.com/c8/78/cb/3afe1388a6422a/PCTKR2010006593-appb-D000001.png
