search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20201231&after=publication:20200101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-107719470-B,Method and apparatus for robust trajectory control of autonomous vehicles ,通用汽车环球科技运作有限责任公司,"P·古皮塔, J-W·李",2016-08-11,2017-07-18,2020-05-26,2020-05-26,https://patents.google.com/patent/CN107719470B/en,https://patentimages.storage.googleapis.com/75/77/16/0a68941600a1ab/HDA0001353848360000011.png
DE-102018210354-A1,Method and system for enabling an autonomous driving mode of a motor vehicle ,Zf Friedrichshafen Ag,"Patrick Kniess, Alexander Banerjee, Velimir Bebek, Sebastian Biehl, Maximilian Freidl, Alexander Häfele, Sven Gohl, Klaus Müller, Christoph Schall, Thomas Boss, Sascha Rösch, Peter Engel",2018-06-26,2018-06-26,2020-01-02,,https://patents.google.com/patent/DE102018210354A1/en,https://patentimages.storage.googleapis.com/bf/4b/9e/e13c5f472c5377/DE102018210354A1_0001.png
US-10572717-B1,System and method for evaluating the perception system of an autonomous vehicle ,Waymo Llc,"Jiajun Zhu, Christopher Paul Urmson, Dirk Haehnel, Nathaniel Fairfield, Russell Leigh Smith",2010-10-05,2019-02-27,2020-02-25,2020-02-25,https://patents.google.com/patent/US10572717B1/en,https://patentimages.storage.googleapis.com/67/44/9a/6325369f9e199e/US10572717-20200225-D00000.png
US-2020326707-A1,Crowd sourcing data for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Amnon Shashua, Yoram Gdalyahu, Ofer Springer, Aran REISMAN, Daniel Braunstein",2015-02-10,2020-06-26,2020-10-15,,https://patents.google.com/patent/US20200326707A1/en,https://patentimages.storage.googleapis.com/ee/6b/51/6411607a6a148b/US20200326707A1-20201015-D00000.png
US-2020064843-A1,Crowd sourcing data for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Amnon Shashua, Yoram Gdalyahu, Ofer Springer, Aran REISMAN, Daniel Braunstein",2015-02-10,2019-11-01,2020-02-27,,https://patents.google.com/patent/US20200064843A1/en,https://patentimages.storage.googleapis.com/3e/19/48/0883aec2db667f/US20200064843A1-20200227-D00000.png
WO-2020001890-A1,Method and system for enabling an autonomous driving mode of a motor vehicle ,Zf Friedrichshafen Ag,"Patrick KNIESS, Alexander Banerjee, Velimir BEBEK, Sebastian BIEHL, Maximilian FREIDL, Alexander Häfele, Sven Gohl, Klaus Müller, Christoph Schall, Thomas Boss, Sascha RÖSCH, Peter Engel",2018-06-26,2019-05-27,2020-01-02,,https://patents.google.com/patent/WO2020001890A1/en,
US-10691126-B1,Autonomous vehicle refueling ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory L. Hayward, Scott Farris",2016-01-22,2018-05-11,2020-06-23,2020-06-23,https://patents.google.com/patent/US10691126B1/en,https://patentimages.storage.googleapis.com/bf/b8/54/23c0cf3fd26a6e/US10691126-20200623-D00000.png
US-10545024-B1,Autonomous vehicle trip routing ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2020-01-28,2020-01-28,https://patents.google.com/patent/US10545024B1/en,https://patentimages.storage.googleapis.com/79/d0/36/2994391cae3096/US10545024-20200128-D00000.png
US-10579070-B1,Method and system for repairing a malfunctioning autonomous vehicle ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2020-03-03,2020-03-03,https://patents.google.com/patent/US10579070B1/en,https://patentimages.storage.googleapis.com/8b/6d/40/42bfefd3047ee1/US10579070-20200303-D00000.png
US-10828999-B1,Autonomous electric vehicle charging ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2018-07-24,2020-11-10,2020-11-10,https://patents.google.com/patent/US10828999B1/en,https://patentimages.storage.googleapis.com/98/3c/54/86b0d58da75eae/US10828999-20201110-D00000.png
