search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20241231&after=publication:20240101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-102682096-B1,Method and system for changing the location recognition method of autonomous agricultural vehicle ,주식회사 대동,유정화,2022-12-15,2022-12-15,2024-07-05,2024-07-05,https://patents.google.com/patent/KR102682096B1/en,https://patentimages.storage.googleapis.com/2e/f1/7a/8eefc757cf95d0/112022135258383-pat00001.png
KR-20240094235-A,Method and system for changing the location recognition method of autonomous agricultural vehicle ,주식회사 대동,유정화,2022-12-15,2022-12-15,2024-06-25,,https://patents.google.com/patent/KR20240094235A/en,https://patentimages.storage.googleapis.com/77/0f/f6/d1674d0131b501/pat00001.png
KR-102623680-B1,Sparse map for autonomous vehicle navigation ,모빌아이 비젼 테크놀로지스 엘티디.,"암논 샤슈아, 요람 그달야후, 오퍼 스프링거, 아란 레이즈만, 다니엘 브라운스타인, 오리 부버맨, 샤이 샬레브-슈워츠, 요아브 타이엡, 이고르 투비스, 데이비드 휴버먼, 레비 벨라체, 기드온 스타인, 안드라스 페렌츠, 가비 아욘, 세르게이 루빈스키, 유발 아비엘",2015-02-10,2016-02-10,2024-01-12,2024-01-12,https://patents.google.com/patent/KR102623680B1/en,https://patentimages.storage.googleapis.com/0a/78/08/51f69a98834bf0/112020102619308-pat00147.png
CN-111380545-B,"Method, server, autonomous vehicle and medium for autonomous vehicle navigation ",御眼视觉技术有限公司,"A.沙苏哈, Y.格达尔雅胡, O.斯普林格, A.赖斯曼, D.布朗斯坦, O.布伯曼, S.沙莱夫-施瓦兹, Y.塔耶布, I.塔比斯, D.休伯曼, L.贝莱什, G.斯坦, A.费伦茨, G.海因, S.鲁宾斯基, Y.阿维尔",2015-02-10,2016-02-10,2024-11-12,2024-11-12,https://patents.google.com/patent/CN111380545B/en,
KR-102624434-B1,Sparse map for autonomous vehicle navigation ,모빌아이 비젼 테크놀로지스 엘티디.,"암논 샤슈아, 요람 그달야후, 오퍼 스프링거, 아란 레이즈만, 다니엘 브라운스타인, 오리 부버맨, 샤이 샬레브-슈워츠, 요아브 타이엡, 이고르 투비스, 데이비드 휴버먼, 레비 벨라체, 기드온 스타인, 안드라스 페렌츠, 가비 아욘, 세르게이 루빈스키, 유발 아비엘",2015-02-10,2016-02-10,2024-01-15,2024-01-15,https://patents.google.com/patent/KR102624434B1/en,https://patentimages.storage.googleapis.com/8a/ac/7a/6c9290731419f8/112020007601954-pat00147.png
CN-112902975-B,"Autonomous vehicle navigation method, readable device, server, vehicle and system ",御眼视觉技术有限公司,"D.布朗斯坦, A.赖斯曼, O.斯普林格, Y.格达尔雅胡, A.沙苏哈",2015-02-10,2016-02-10,2024-04-30,2024-04-30,https://patents.google.com/patent/CN112902975B/en,
KR-102622571-B1,Directions for autonomous driving ,모빌아이 비젼 테크놀로지스 엘티디.,"암논 샤슈아, 요람 그달야후, 오퍼 스프링거, 아란 레이즈만, 다니엘 브라운스타인, 오리 부버맨, 샤이 샬레브-슈워츠, 요아브 타이엡, 이고르 투비스, 데이비드 휴버먼, 레비 벨라체, 기드온 스타인, 안드라스 페렌츠, 가비 아욘, 세르게이 루빈스키, 유발 아비엘",2015-02-10,2016-02-10,2024-01-09,2024-01-09,https://patents.google.com/patent/KR102622571B1/en,https://patentimages.storage.googleapis.com/14/02/dc/de647757c334d9/112017099780207-pct00025.png
US-12111165-B2,Autonomous vehicle retrieval ,State Farm Mutual Automobile Insurance Company,"Blake S. Konrardy, Gregory L. Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2022-10-16,2024-10-08,2024-10-08,https://patents.google.com/patent/US12111165B2/en,https://patentimages.storage.googleapis.com/33/37/e9/7b33b896baad2a/US12111165-20241008-D00000.png
US-12174027-B2,Detecting and responding to autonomous vehicle incidents and unusual conditions ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Gregory Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2022-08-12,2024-12-24,2024-12-24,https://patents.google.com/patent/US12174027B2/en,https://patentimages.storage.googleapis.com/bc/45/a1/7084fb9e299cea/US12174027-20241224-D00000.png
US-2024384999-A1,Autonomous vehicle retrieval ,State Farm Mutual Automobile Insurance Company,"Blake S. Konrardy, Gregory L. Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2024-07-30,2024-11-21,,https://patents.google.com/patent/US20240384999A1/en,https://patentimages.storage.googleapis.com/be/5e/a6/d665146aae19e4/US20240384999A1-20241121-D00000.png
