search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20221231&after=publication:20220101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-112923937-B,"System, autonomous vehicle and method for autonomously navigating an autonomous vehicle along a road segment ",御眼视觉技术有限公司,"I.塔比斯, Y.塔耶布, D.布朗斯坦, A.赖斯曼, A.沙苏哈",2015-02-10,2016-02-10,2022-03-15,2022-03-15,https://patents.google.com/patent/CN112923937B/en,https://patentimages.storage.googleapis.com/ca/a1/6e/c26e4425fd7b3a/HDA0002930295770000011.png
US-11392123-B2,Crowd sourcing data for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Amnon Shashua, Yoram Gdalyahu, Ofer Springer, Aran REISMAN, Daniel Braunstein",2015-02-10,2019-11-01,2022-07-19,2022-07-19,https://patents.google.com/patent/US11392123B2/en,https://patentimages.storage.googleapis.com/2e/c1/ad/e63404e696b0d3/US11392123-20220719-D00000.png
CN-112857387-B,"System, vehicle and method for autonomously navigating an autonomous vehicle along a road segment ",御眼视觉技术有限公司,"O.斯普林格, G.斯坦, A.费伦茨",2015-02-10,2016-02-10,2022-06-28,2022-06-28,https://patents.google.com/patent/CN112857387B/en,https://patentimages.storage.googleapis.com/70/77/8a/20040cf256f875/HDA0002930295830000011.png
US-2022388463-A1,Detecting and responding to autonomous vehicle incidents ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Gregory Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2022-08-12,2022-12-08,,https://patents.google.com/patent/US20220388463A1/en,https://patentimages.storage.googleapis.com/0c/9f/79/11b78de23c5d7a/US20220388463A1-20221208-D00000.png
US-11511736-B1,Autonomous vehicle retrieval ,State Farm Mutual Automobile Insurance Company,"Blake S. Konrardy, Gregory L. Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2019-10-29,2022-11-29,2022-11-29,https://patents.google.com/patent/US11511736B1/en,https://patentimages.storage.googleapis.com/1c/b4/16/f2f79fe49785bc/US11511736-20221129-D00000.png
US-11440494-B1,Detecting and responding to autonomous vehicle incidents ,State Farm Mutual Automobile Insurance Company,"Blake S. Konrardy, Gregory L. Hayward, Scott Farris, Scott T. Christensen",2016-01-22,2019-10-30,2022-09-13,2022-09-13,https://patents.google.com/patent/US11440494B1/en,https://patentimages.storage.googleapis.com/97/a8/86/2e1969528b7a19/US11440494-20220913-D00000.png
US-2022390245-A1,Autonomous vehicle trip routing ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2022-08-10,2022-12-08,,https://patents.google.com/patent/US20220390245A1/en,https://patentimages.storage.googleapis.com/bc/ad/02/6346606d4e3323/US20220390245A1-20221208-D00000.png
US-11526167-B1,Autonomous vehicle component maintenance and repair ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2020-10-20,2022-12-13,2022-12-13,https://patents.google.com/patent/US11526167B1/en,https://patentimages.storage.googleapis.com/7b/3d/34/bef86af9dbce19/US11526167-20221213-D00000.png
US-11513521-B1,Autonomous vehicle refueling ,State Farm Mutual Automobile Insurance Copmany,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2020-05-14,2022-11-29,2022-11-29,https://patents.google.com/patent/US11513521B1/en,https://patentimages.storage.googleapis.com/f6/f8/9a/a5c73013fb5a00/US11513521-20221129-D00000.png
DE-102020004192-A1,"Method for communication between an at least partially autonomous motor vehicle and a pedestrian using a system, and system ",Daimler Ag,"Janine Günther, Nicolai Spohrer, Lucas Volkert, Florian Flerlage",2020-07-13,2020-07-13,2022-01-13,,https://patents.google.com/patent/DE102020004192A1/en,https://patentimages.storage.googleapis.com/d5/7f/06/30b6fbdceb4c5f/DE102020004192A1_0001.png
