search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20101231&after=publication:20100101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7840352-B2,Method and system for autonomous vehicle navigation ,Honeywell International Inc.,"Dennis W. Strelow, Alan B. Touchberry",2006-09-05,2006-09-05,2010-11-23,2010-11-23,https://patents.google.com/patent/US7840352B2/en,https://patentimages.storage.googleapis.com/5c/d8/38/94aa2ebc4b35da/US07840352-20101123-D00000.png
US-2010106356-A1,Control and systems for autonomously driven vehicles ,The Gray Insurance Company,"Paul Gerard Trepagnier, Jorge Emilio Nagel, Matthew Taylor Dooner, Michael Thomas Dewenter, Neil Michael Traft, Sergey Drakunov, Powell Kinney, Aaron Lee",2008-10-24,2008-10-24,2010-04-29,,https://patents.google.com/patent/US20100106356A1/en,https://patentimages.storage.googleapis.com/db/83/16/cbb0c69c70ca71/US20100106356A1-20100429-D00000.png
KR-100951967-B1,Powertrain of Hybrid Electric Vehicle with Automated Manual Transmission ,현대 파워텍 주식회사,"조성호, 김홍식, 김태훈",2008-06-23,2008-06-23,2010-04-08,2010-04-08,https://patents.google.com/patent/KR100951967B1/en,https://patentimages.storage.googleapis.com/8c/8f/93/374510d5df839d/112008044655680-pat00001.png
US-7739006-B2,System and method for autonomous navigation in a ride vehicle ,"Disney Enterprises, Inc.",Jeremy Gillula,2007-02-07,2007-06-25,2010-06-15,2010-06-15,https://patents.google.com/patent/US7739006B2/en,https://patentimages.storage.googleapis.com/19/33/54/0abc37da24b672/US07739006-20100615-D00000.png
US-2010082193-A1,Celestial navigation system for an autonomous vehicle ,Mark Joseph Chiappetta,Mark Joseph Chiappetta,2004-07-07,2009-11-03,2010-04-01,,https://patents.google.com/patent/US20100082193A1/en,https://patentimages.storage.googleapis.com/d4/63/13/021fb48924758b/US20100082193A1-20100401-D00000.png
EP-2149799-A2,Laser ranging process for road and obstacle detection in navigating an autonomous vehicle ,Honeywell International Inc.,"Kwong Wing Au, Jon Schewe",2008-07-30,2009-05-22,2010-02-03,,https://patents.google.com/patent/EP2149799A2/en,https://patentimages.storage.googleapis.com/4e/94/36/dd0bf7a0e1cdef/imgf0001.png
US-2010030473-A1,Laser ranging process for road and obstacle detection in navigating an autonomous vehicle ,Honeywell International Inc.,"Kwong Wing Au, Jon Schewe",2008-07-30,2008-07-30,2010-02-04,,https://patents.google.com/patent/US20100030473A1/en,https://patentimages.storage.googleapis.com/cd/b1/22/245d89433f78c1/US20100030473A1-20100204-D00000.png
WO-2010101393-A2,Apparatus and the method for distinguishing ground and obstacles for autonomous mobile vehicle ,Agency For Defense Development,"Tok Son Choe, Jeong Sook Chae, Yong Woon Park, Jun Kim",2009-03-03,2010-03-03,2010-09-10,,https://patents.google.com/patent/WO2010101393A2/en,https://patentimages.storage.googleapis.com/8f/1f/76/a66995ff88dabd/WO-DOC-FIGURE-1.png
US-2010153050-A1,Autonomous Underwater Vehicle Borne Gravity Meter ,"Zumberge Mark A, Glenn Sasagawa, Richard Zimmerman, Jeff Ridgway","Mark A. Zumberge, Glenn Sasagawa, Richard Zimmerman, Jeff Ridgway",2008-11-11,2009-11-12,2010-06-17,,https://patents.google.com/patent/US20100153050A1/en,https://patentimages.storage.googleapis.com/49/05/7a/670da9ef92ec8b/US20100153050A1-20100617-D00000.png
US-2010179715-A1,Controlling an autonomous vehicle system ,Bae Systems Plc,John David Puddy,2006-12-11,2007-12-05,2010-07-15,,https://patents.google.com/patent/US20100179715A1/en,https://patentimages.storage.googleapis.com/dc/28/01/cf203fb2671e4c/US20100179715A1-20100715-D00000.png
