search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20211231&after=publication:20210101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-102332354-B1,Method for operating an autonomously operating driving safety or driver assistance system of a motor vehicle ,바브코 게엠베하,올리버 불프,2014-03-21,2015-03-10,2021-11-29,2021-11-29,https://patents.google.com/patent/KR102332354B1/en,https://patentimages.storage.googleapis.com/22/26/b7/0e875d274f37e2/112016080819805-pct00001.png
US-11106893-B1,System and method for evaluating the perception system of an autonomous vehicle ,Waymo Llc,"Jiajun Zhu, Christopher Paul Urmson, Dirk Haehnel, Nathaniel Fairfield, Russell Leigh Smith",2010-10-05,2019-11-22,2021-08-31,2021-08-31,https://patents.google.com/patent/US11106893B1/en,https://patentimages.storage.googleapis.com/e8/18/17/218b18d9374da5/US11106893-20210831-D00000.png
AU-2021269330-A1,Sparse map for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Yuval Aviel, Levi BELLAICHE, Daniel Braunstein, Ori BUBERMAN, Andras Ferencz, Yoram Gdalyahu, Gaby Hayon, David HUBERMAN, Aran REISMAN, Sergey RUBINSKY, Shai SHALEV-SHWARTZ, Amnon Shashua, Ofer Springer, Gideon Stein, Yoav Taieb, Igor Tubis",2015-02-10,2021-11-16,2021-12-09,,https://patents.google.com/patent/AU2021269330A1/en,
AU-2016219343-B2,Sparse map for autonomous vehicle navigation ,Mobileye Vision Technologies Ltd.,"Yuval Aviel, Levi BELLAICHE, Daniel Braunstein, Ori BUBERMAN, Andras Ferencz, Yoram Gdalyahu, Gaby Hayon, David HUBERMAN, Aran REISMAN, Sergey RUBINSKY, Shai SHALEV-SHWARTZ, Amnon Shashua, Ofer Springer, Gideon Stein, Yoav Taieb, Igor Tubis",2015-02-10,2016-02-10,2021-09-02,2021-09-02,https://patents.google.com/patent/AU2016219343B2/en,
JP-2021119072-A,"Systems for autonomously navigating vehicles, vehicles, and how to navigate vehicles ","モービルアイ ビジョン テクノロジーズ リミテッド, Mobileye Vision Technologies Ltd, モービルアイ  ビジョン  テクノロジーズ  リミテッド","シャシュア，アムノン, Shashua Amnon, グダルヤフ，ヨラム, Gdalyahu Yoram, シュプリンガー，オフェル, Springer Ofer, ライスマン，アラン, Reisman Aran, ブラウンシュタイン，ダニエル, Braunstein Daniel, ブーベルマン，オリ, Buberman Ori, シャレブ−シュワルツ，シャイ, Shalev-Shwartz Shai, タイエブ，ヨアフ, Taieb Yoav, チュービス，イゴール, Tubis Igor, フーベルマン，デイビッド, Huberman David, ベライチェ，レヴィ, Bellaiche Levi, シュタイン，ギデオン, Stein Gideon, フェレンツ，アンドラス, Ferencz Andras, ハヨン，ゲービー, Hayon Gaby, ルビンスキー，セルゲイ, Sergey Rubinsky, アヴィエル，ユヴァル, Aviel Yuval",2015-02-10,2021-02-02,2021-08-12,,https://patents.google.com/patent/JP2021119072A/en,https://patentimages.storage.googleapis.com/53/48/6d/a75644bc032f49/2021119072-3.png
JP-2021105607-A,"System for autonomously navigating autonomous vehicle, autonomous vehicle, and method for navigating autonomous vehicle ","モービルアイ ビジョン テクノロジーズ リミテッド, Mobileye Vision Technologies Ltd, モービルアイ  ビジョン  テクノロジーズ  リミテッド","シャシュア，アムノン, Shashua Amnon, グダルヤフ，ヨラム, Gdalyahu Yoram, シュプリンガー，オフェル, Springer Ofer, ライスマン，アラン, Reisman Aran, ブラウンシュタイン，ダニエル, Braunstein Daniel, ブーベルマン，オリ, Buberman Ori, シャレブ−シュワルツ，シャイ, Shalev-Shwartz Shai, タイエブ，ヨアフ, Taieb Yoav, チュービス，イゴール, Tubis Igor, フーベルマン，デイビッド, Huberman David, ベライチェ，レヴィ, Bellaiche Levi, シュタイン，ギデオン, Stein Gideon, フェレンツ，アンドラス, Ferencz Andras, ハヨン，ゲービー, Hayon Gaby, ルビンスキー，セルゲイ, Sergey Rubinsky, アヴィエル，ユヴァル, Aviel Yuval",2015-02-10,2021-02-02,2021-07-26,,https://patents.google.com/patent/JP2021105607A/en,https://patentimages.storage.googleapis.com/c1/56/33/e92847aac94f94/2021105607-3.png
JP-2021103525-A,"Method for processing navigation information, map server computer program for processing navigation information, vehicle system for supporting autonomous vehicle navigation, and autonomous vehicle ","モービルアイ ビジョン テクノロジーズ リミテッド, Mobileye Vision Technologies Ltd, モービルアイ  ビジョン  テクノロジーズ  リミテッド","シャシュア，アムノン, Shashua Amnon, グダルヤフ，ヨラム, Gdalyahu Yoram, シュプリンガー，オフェル, Springer Ofer, ライスマン，アラン, Reisman Aran, ブラウンシュタイン，ダニエル, Braunstein Daniel, ブーベルマン，オリ, Buberman Ori, シャレブ−シュワルツ，シャイ, Shalev-Shwartz Shai, タイエブ，ヨアフ, Taieb Yoav, チュービス，イゴール, Tubis Igor, フーベルマン，デイビッド, Huberman David, ベライチェ，レヴィ, Bellaiche Levi, シュタイン，ギデオン, Stein Gideon, フェレンツ，アンドラス, Ferencz Andras, ハヨン，ゲービー, Hayon Gaby, ルビンスキー，セルゲイ, Sergey Rubinsky, アヴィエル，ユヴァル, Aviel Yuval",2015-02-10,2021-02-04,2021-07-15,,https://patents.google.com/patent/JP2021103525A/en,https://patentimages.storage.googleapis.com/58/40/19/2701bf3ac93099/2021103525-3.png
JP-2021105996-A,"System for determining traffic lane allocation of autonomous vehicle, method executed by computer for determining traffic lane allocation of autonomous vehicle, and computer program ","モービルアイ ビジョン テクノロジーズ リミテッド, Mobileye Vision Technologies Ltd, モービルアイ  ビジョン  テクノロジーズ  リミテッド","シャシュア，アムノン, Shashua Amnon, グダルヤフ，ヨラム, Gdalyahu Yoram, シュプリンガー，オフェル, Springer Ofer, ライスマン，アラン, Reisman Aran, ブラウンシュタイン，ダニエル, Braunstein Daniel, ブーベルマン，オリ, Buberman Ori, シャレブ−シュワルツ，シャイ, Shalev-Shwartz Shai, タイエブ，ヨアフ, Taieb Yoav, チュービス，イゴール, Tubis Igor, フーベルマン，デイビッド, Huberman David, ベライチェ，レヴィ, Bellaiche Levi, シュタイン，ギデオン, Stein Gideon, フェレンツ，アンドラス, Ferencz Andras, ハヨン，ゲービー, Hayon Gaby, ルビンスキー，セルゲイ, Sergey Rubinsky, アヴィエル，ユヴァル, Aviel Yuval",2015-02-10,2021-02-04,2021-07-26,,https://patents.google.com/patent/JP2021105996A/en,https://patentimages.storage.googleapis.com/95/f9/59/d13e1bbcf24e63/2021105996-3.png
DE-102018204900-B4,Brake system for a vehicle with an at least partially automated control function ,Volkswagen Aktiengesellschaft,Stefan Schröder,2018-03-29,2018-03-29,2021-02-25,2021-02-25,https://patents.google.com/patent/DE102018204900B4/en,https://patentimages.storage.googleapis.com/64/00/42/8edaa388c3622f/DE102018204900B4_0001.png
US-11124186-B1,Autonomous vehicle control signal ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2019-03-25,2021-09-21,2021-09-21,https://patents.google.com/patent/US11124186B1/en,https://patentimages.storage.googleapis.com/fb/1e/4d/060e5c75ce5157/US11124186-20210921-D00000.png
US-2021294350-A1,Autonomous vehicle path coordination ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2018-11-21,2021-09-23,,https://patents.google.com/patent/US20210294350A1/en,https://patentimages.storage.googleapis.com/cc/61/c9/f160dab60942d7/US20210294350A1-20210923-D00000.png
US-11119477-B1,Anomalous condition detection and response for autonomous vehicles ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2021-09-14,2021-09-14,https://patents.google.com/patent/US11119477B1/en,https://patentimages.storage.googleapis.com/2d/ab/bf/039e3b7b3eb12d/US11119477-20210914-D00000.png
US-11022978-B1,Autonomous vehicle routing during emergencies ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2018-10-25,2021-06-01,2021-06-01,https://patents.google.com/patent/US11022978B1/en,https://patentimages.storage.googleapis.com/3e/fd/b9/fe9a10c4933bd4/US11022978-20210601-D00000.png
US-11015942-B1,Autonomous vehicle routing ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2019-05-10,2021-05-25,2021-05-25,https://patents.google.com/patent/US11015942B1/en,https://patentimages.storage.googleapis.com/76/3a/e0/75fa669349b975/US11015942-20210525-D00000.png
US-11016504-B1,Method and system for repairing a malfunctioning autonomous vehicle ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2019-05-22,2021-05-25,2021-05-25,https://patents.google.com/patent/US11016504B1/en,https://patentimages.storage.googleapis.com/ec/c6/73/5f2a53326f3537/US11016504-20210525-D00000.png
US-11126184-B1,Autonomous vehicle parking ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2019-05-22,2021-09-21,2021-09-21,https://patents.google.com/patent/US11126184B1/en,https://patentimages.storage.googleapis.com/20/a1/58/9c137bf369463b/US11126184-20210921-D00000.png
US-2021039513-A1,Autonomous electric vehicle charging ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2020-10-28,2021-02-11,,https://patents.google.com/patent/US20210039513A1/en,https://patentimages.storage.googleapis.com/55/cf/45/f7ce79379fba45/US20210039513A1-20210211-D00000.png
US-11062414-B1,System and method for autonomous vehicle ride sharing using facial recognition ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2017-01-18,2021-07-13,2021-07-13,https://patents.google.com/patent/US11062414B1/en,https://patentimages.storage.googleapis.com/13/7f/f0/1f3ca59e2ddff6/US11062414-20210713-D00000.png
US-2021129857-A1,Engaging and disengaging for autonomous driving ,Waymo Llc,"Brian Douglas Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2020-11-06,2021-05-06,,https://patents.google.com/patent/US20210129857A1/en,https://patentimages.storage.googleapis.com/0f/d5/37/3a426290d850d3/US20210129857A1-20210506-D00000.png
US-11062399-B1,Accident response using autonomous vehicle monitoring ,State Farm Mutual Automobile Insurance Company,"Blake S. Konrardy, Scott T. Christensen, Gregory L. Hayward, Scott Farris",2014-05-20,2019-11-04,2021-07-13,2021-07-13,https://patents.google.com/patent/US11062399B1/en,https://patentimages.storage.googleapis.com/b4/b4/b4/c67c85b88da4d6/US11062399-20210713-D00000.png
US-11062396-B1,Determining autonomous vehicle technology performance for insurance pricing and offering ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2018-06-25,2021-07-13,2021-07-13,https://patents.google.com/patent/US11062396B1/en,https://patentimages.storage.googleapis.com/44/ff/7d/1a659db5efcc9d/US11062396-20210713-D00000.png
US-11080794-B2,Autonomous vehicle technology effectiveness determination for insurance pricing ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2020-06-08,2021-08-03,2021-08-03,https://patents.google.com/patent/US11080794B2/en,https://patentimages.storage.googleapis.com/ec/4c/24/1ef957be568847/US11080794-20210803-D00000.png
US-11127086-B2,Accident fault determination for autonomous vehicles ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2020-06-08,2021-09-21,2021-09-21,https://patents.google.com/patent/US11127086B2/en,https://patentimages.storage.googleapis.com/9f/3c/bf/a7143af50f0d38/US11127086-20210921-D00000.png
US-11062395-B1,Accident fault determination for autonomous vehicles ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2017-08-29,2021-07-13,2021-07-13,https://patents.google.com/patent/US11062395B1/en,https://patentimages.storage.googleapis.com/e7/99/c9/f93d4e4ae19b21/US11062395-20210713-D00000.png
US-11086338-B2,Package delivery by means of an automated multi-copter UAS/UAV dispatched from a conventional delivery vehicle ,Workhorse Group Inc.,"Elliot T. Bokeno, Thaddeus M. Bort, JR., Stephen S. Burns, Martin Rucidlo, Wei Wei, Donald L. Wires",2015-01-09,2018-03-08,2021-08-10,2021-08-10,https://patents.google.com/patent/US11086338B2/en,https://patentimages.storage.googleapis.com/ce/87/9a/7c473f04d4047a/US11086338-20210810-D00000.png
CN-107792077-B,Method and system for confirming whether road section is suitable for autonomous vehicle driving ,沃尔沃汽车公司,"S·西伦, P·哈达",2016-08-30,2017-08-22,2021-05-07,2021-05-07,https://patents.google.com/patent/CN107792077B/en,https://patentimages.storage.googleapis.com/dd/e0/91/7ed989ac5e7e53/HDA0002974247410000011.png
KR-102300495-B1,Mobile Devices for Autonomous Vehicle Enhancement Systems ,"아놀드 체이스, 윌리엄 체이스","아놀드 체이스, 윌리엄 체이스",2017-05-08,2018-05-08,2021-09-10,2021-09-10,https://patents.google.com/patent/KR102300495B1/en,https://patentimages.storage.googleapis.com/90/5d/f2/24465f0304a4c6/112019122801895-pct00001.png
US-2021325902-A1,Autonomous Vehicle Collision Mitigation Systems and Methods ,"Uatc, Llc","Matthew Shaw Wood, William M. Leach, Scott C. Poeppel, Nicholas G. Letwin, Noah Zych",2017-06-29,2021-06-28,2021-10-21,,https://patents.google.com/patent/US20210325902A1/en,https://patentimages.storage.googleapis.com/f2/34/b3/7e3a1d605fe97c/US20210325902A1-20211021-D00000.png
US-2021397184-A1,Autonomous vehicle routing based upon risk of autonomous vehicle takeover ,Gm Cruise Holdings Llc,"Geoffrey Louis Chi-Johnston, Vishal Suresh Vaingankar, Antony Joseph, Sean Gregory Skwerer, Lucio Otavio Marchioro Rech, Nitin Kumar Passa, Laura Athena Freeman, George Herbert Hines",2019-02-20,2021-08-31,2021-12-23,,https://patents.google.com/patent/US20210397184A1/en,https://patentimages.storage.googleapis.com/cd/c6/71/89621dc652b555/US20210397184A1-20211223-D00000.png
KR-102326062-B1,System and method for avoiding obstacle for autonomous vehicle ,현대모비스 주식회사,이정희,2014-11-12,2014-11-12,2021-11-12,2021-11-12,https://patents.google.com/patent/KR102326062B1/en,https://patentimages.storage.googleapis.com/40/8d/c2/e12ce6475db56f/112014108847467-pat00001.png
US-2021339742-A1,Risk processing for vehicles having autonomous driving capabilities ,Motional Ad Llc,"Hsun-Hsien Chang, Noam Weinstein, Eric Wolff, Philipp Robbel, Jacob C. Cheuvront, Karl Iagnemma, Katarzyna Anna Marczuk",2017-06-20,2021-05-14,2021-11-04,,https://patents.google.com/patent/US20210339742A1/en,https://patentimages.storage.googleapis.com/fa/33/ad/9df80bf44125f8/US20210339742A1-20211104-D00000.png
US-11040650-B2,Method for controlling vehicle in autonomous driving system and apparatus thereof ,Lg Electronics Inc.,Soryoung KIM,2019-07-31,2019-08-30,2021-06-22,2021-06-22,https://patents.google.com/patent/US11040650B2/en,https://patentimages.storage.googleapis.com/8b/33/08/f7722ebd4a8501/US11040650-20210622-D00000.png
CA-3038905-C,Controlling autonomous vehicles to provide automated emergency response functions ,"Allstate Insurance Company, Surender Kumar, Ryan M. Briggs, Mark Slusar, Timothy W. Gibson","Surender Kumar, Ryan M. Briggs, Mark Slusar, Timothy W. Gibson",2016-09-30,2017-09-28,2021-06-29,2021-06-29,https://patents.google.com/patent/CA3038905C/en,
US-2021031791-A1,Autonomous vehicle operating status assessment ,State Farm Mutual Automobile Insurance Company,"Brian Mark Fields, Chien Che Huang, Mohamed A. Wazeer, Shawn C. Bennett, Steven Cielocha, Ronny S. Bryant, Stephen Kohaus, Terry Quakenbush, Richard A. Novak, Aaron Scott Chan, Craig M. Main, Weixin Wu, Torri Wollenschlager, Carol Marie Csanda, Stacey Gorsuch, Todd Binion",2014-11-13,2020-10-21,2021-02-04,,https://patents.google.com/patent/US20210031791A1/en,https://patentimages.storage.googleapis.com/03/5c/af/8724f09d531f21/US20210031791A1-20210204-D00000.png
EP-3885975-A1,Methods and devices for detecting objects and calculating a time to contact in autonomous driving systems ,INTEL Corporation,"Leobardo Emmanuel Campos Macias, Rafael De La Guardia Gonzalez, Anthony Kyung Guzman Leguel, David GOMEZ GUTIERREZ, Jose Ignacio PARRA VILCHIS",2020-03-27,2020-10-29,2021-09-29,,https://patents.google.com/patent/EP3885975A1/en,https://patentimages.storage.googleapis.com/e6/ff/c3/481410442b005e/imgf0001.png
US-2021118060-A1,Systems and methods for maintaining a distributed ledger pertaining to autonomous vehicles ,State Farm Mutual Automobile Insurance Company,"Matthew L. Floyd, Alvin Hon-Wai Yu, Antwuan Murphy, Brittney Benzio, Lindsi Brantley, Matthew S. Delaney, Matthew Vulich, Matthew S. Rodriguez, Neha Goel, Sabrina Collins, Annie Pudlo Murillo",2016-11-23,2020-10-28,2021-04-22,,https://patents.google.com/patent/US20210118060A1/en,https://patentimages.storage.googleapis.com/0a/1b/19/c2014da396e045/US20210118060A1-20210422-D00000.png
US-2021048826-A1,"Deep learning-based autonomous vehicle control device, system including the same, and method thereof ","Hyundai Motor Company, Kia Motors Corporation",Byung Yong YOU,2017-03-27,2020-10-19,2021-02-18,,https://patents.google.com/patent/US20210048826A1/en,https://patentimages.storage.googleapis.com/ee/1e/82/81aa3386d60652/US20210048826A1-20210218-D00000.png
US-2021034064-A1,"Deep learning-based autonomous vehicle control device, system includig the same, and method thereof ","Hyundai Motor Company, Kia Motors Corporation",Byung Yong YOU,2017-03-27,2020-10-19,2021-02-04,,https://patents.google.com/patent/US20210034064A1/en,https://patentimages.storage.googleapis.com/ac/a9/9c/2b61eb9ee36d47/US20210034064A1-20210204-D00000.png
US-11188087-B2,"Autonomous working system, autonomous vehicle and steering method thereof ","Positec Power Tools (Suzhou) Co., Ltd.","Xiahong Zha, Fengli Zhao, Bincai Lan",2016-03-30,2017-02-28,2021-11-30,2021-11-30,https://patents.google.com/patent/US11188087B2/en,https://patentimages.storage.googleapis.com/10/26/f4/3cf4635bbd060d/US11188087-20211130-D00000.png
US-11192543-B2,Systems and methods for automated stopping and/or parking of autonomous vehicles ,"Ford Global Technologies, Llc","Tyler Glenn, Shadi Jammoul, Levasseur Tellis, Gerald H. Engelman",2018-12-21,2018-12-21,2021-12-07,2021-12-07,https://patents.google.com/patent/US11192543B2/en,https://patentimages.storage.googleapis.com/56/ba/f3/af52fa594c8c1f/US11192543-20211207-D00000.png
KR-102320624-B1,Digital twin system and method for virtualization of autonomous driving ,인하대학교 산학협력단,이종식,2020-03-18,2020-03-18,2021-11-02,2021-11-02,https://patents.google.com/patent/KR102320624B1/en,https://patentimages.storage.googleapis.com/aa/16/9c/ebfd81bd9aeaea/112020028725279-pat00001.png
US-2021253128-A1,Behavior planning for autonomous vehicles ,Nvidia Corporation,"David Nister, Yizhou Wang, Julia Ng, Rotem Aviv, Seungho Lee, Joshua John Bialkowski, Hon Leung Lee, Hermes Lanker, Raul Correal Tezanos, Zhenyi Zhang, Nikolai Smolyanskiy, Alexey Kamenev, Ollin Boer Bohan, Anton Vorontsov, Miguel Sainz Serra, Birgit Henke",2020-02-19,2021-02-18,2021-08-19,,https://patents.google.com/patent/US20210253128A1/en,https://patentimages.storage.googleapis.com/7f/72/c9/d72ca3683bf592/US20210253128A1-20210819-D00000.png
